sample,percentile,thresh_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7B,1.0,0.0,0.0,0.0,27,331
D7B,1.0,0.0,1.0,0.0,27,331
D7B,1.0,0.0,2.0,0.0,27,331
D7B,1.0,0.0,5.0,0.0,27,331
D7B,0.995,0.0,0.0,0.0,27,331
D7B,0.995,0.0,1.0,0.0,27,331
D7B,0.995,0.0,2.0,0.0,27,331
D7B,0.995,0.0,5.0,0.0,27,331
D7B,0.99,0.0,0.0,0.0,27,331
D7B,0.99,0.0,1.0,0.0,27,331
D7B,0.99,0.0,2.0,0.0,27,331
D7B,0.99,0.0,5.0,0.0,27,331
D7B,0.985,0.6700000000000053,0.0,0.008992884505567797,27,328
D7B,0.985,0.6700000000000053,1.0,0.006793933275323351,27,328
D7B,0.985,0.6700000000000053,2.0,0.005660395946378448,27,328
D7B,0.985,0.6700000000000053,5.0,0.004573300143192493,27,328
D7B,0.98,1.0,0.0,0.008992884505567797,27,328
D7B,0.98,1.0,1.0,0.006793933275323351,27,328
D7B,0.98,1.0,2.0,0.005660395946378448,27,328
D7B,0.98,1.0,5.0,0.004573300143192493,27,328
D7B,0.975,1.0,0.0,0.008992884505567797,27,328
D7B,0.975,1.0,1.0,0.006793933275323351,27,328
D7B,0.975,1.0,2.0,0.005660395946378448,27,328
D7B,0.975,1.0,5.0,0.004573300143192493,27,328
D7B,0.97,1.0,0.0,0.008992884505567797,27,328
D7B,0.97,1.0,1.0,0.006793933275323351,27,328
D7B,0.97,1.0,2.0,0.005660395946378448,27,328
D7B,0.97,1.0,5.0,0.004573300143192493,27,328
D7B,0.965,1.0,0.0,0.008992884505567797,27,328
D7B,0.965,1.0,1.0,0.006793933275323351,27,328
D7B,0.965,1.0,2.0,0.005660395946378448,27,328
D7B,0.965,1.0,5.0,0.004573300143192493,27,328
D7B,0.96,1.0,0.0,0.008992884505567797,27,328
D7B,0.96,1.0,1.0,0.006793933275323351,27,328
D7B,0.96,1.0,2.0,0.005660395946378448,27,328
D7B,0.96,1.0,5.0,0.004573300143192493,27,328
D7B,0.955,1.0100000000000158,0.0,0.014392753621140272,27,316
D7B,0.955,1.0100000000000158,1.0,0.01739366704757659,27,316
D7B,0.955,1.0100000000000158,2.0,0.01831594353360532,27,316
D7B,0.955,1.0100000000000158,5.0,0.016472362682257408,27,316
D7B,0.95,2.0,0.0,0.014392753621140272,27,316
D7B,0.95,2.0,1.0,0.01739366704757659,27,316
D7B,0.95,2.0,2.0,0.01831594353360532,27,316
D7B,0.95,2.0,5.0,0.016472362682257408,27,316
D7B,0.945,2.0,0.0,0.014392753621140272,27,316
D7B,0.945,2.0,1.0,0.01739366704757659,27,316
D7B,0.945,2.0,2.0,0.01831594353360532,27,316
D7B,0.945,2.0,5.0,0.016472362682257408,27,316
D7B,0.94,2.0,0.0,0.014392753621140272,27,316
D7B,0.94,2.0,1.0,0.01739366704757659,27,316
D7B,0.94,2.0,2.0,0.01831594353360532,27,316
D7B,0.94,2.0,5.0,0.016472362682257408,27,316
D7B,0.935,2.0,0.0,0.014392753621140272,27,316
D7B,0.935,2.0,1.0,0.01739366704757659,27,316
D7B,0.935,2.0,2.0,0.01831594353360532,27,316
D7B,0.935,2.0,5.0,0.016472362682257408,27,316
D7B,0.9299999999999999,2.0,0.0,0.014392753621140272,27,316
D7B,0.9299999999999999,2.0,1.0,0.01739366704757659,27,316
D7B,0.9299999999999999,2.0,2.0,0.01831594353360532,27,316
D7B,0.9299999999999999,2.0,5.0,0.016472362682257408,27,316
D7B,0.925,2.0,0.0,0.014392753621140272,27,316
D7B,0.925,2.0,1.0,0.01739366704757659,27,316
D7B,0.925,2.0,2.0,0.01831594353360532,27,316
D7B,0.925,2.0,5.0,0.016472362682257408,27,316
D7B,0.92,2.0,0.0,0.014392753621140272,27,316
D7B,0.92,2.0,1.0,0.01739366704757659,27,316
D7B,0.92,2.0,2.0,0.01831594353360532,27,316
D7B,0.92,2.0,5.0,0.016472362682257408,27,316
D7B,0.915,3.0,0.0,0.006025593531288168,27,302
D7B,0.915,3.0,1.0,0.011231379114457894,27,302
D7B,0.915,3.0,2.0,0.014035710580717831,27,302
D7B,0.915,3.0,5.0,0.013493459687110408,27,302
D7B,0.91,3.0,0.0,0.006025593531288168,27,302
D7B,0.91,3.0,1.0,0.011231379114457894,27,302
D7B,0.91,3.0,2.0,0.014035710580717831,27,302
D7B,0.91,3.0,5.0,0.013493459687110408,27,302
D7B,0.905,3.0,0.0,0.006025593531288168,27,302
D7B,0.905,3.0,1.0,0.011231379114457894,27,302
D7B,0.905,3.0,2.0,0.014035710580717831,27,302
D7B,0.905,3.0,5.0,0.013493459687110408,27,302
D7B,0.9,3.0,0.0,0.006025593531288168,27,302
D7B,0.9,3.0,1.0,0.011231379114457894,27,302
D7B,0.9,3.0,2.0,0.014035710580717831,27,302
D7B,0.9,3.0,5.0,0.013493459687110408,27,302
D7B,0.895,3.0,0.0,0.006025593531288168,27,302
D7B,0.895,3.0,1.0,0.011231379114457894,27,302
D7B,0.895,3.0,2.0,0.014035710580717831,27,302
D7B,0.895,3.0,5.0,0.013493459687110408,27,302
D7B,0.89,3.0,0.0,0.006025593531288168,27,302
D7B,0.89,3.0,1.0,0.011231379114457894,27,302
D7B,0.89,3.0,2.0,0.014035710580717831,27,302
D7B,0.89,3.0,5.0,0.013493459687110408,27,302
D7B,0.885,3.0,0.0,0.006025593531288168,27,302
D7B,0.885,3.0,1.0,0.011231379114457894,27,302
D7B,0.885,3.0,2.0,0.014035710580717831,27,302
D7B,0.885,3.0,5.0,0.013493459687110408,27,302
D7B,0.88,3.0,0.0,0.006025593531288168,27,302
D7B,0.88,3.0,1.0,0.011231379114457894,27,302
D7B,0.88,3.0,2.0,0.014035710580717831,27,302
D7B,0.88,3.0,5.0,0.013493459687110408,27,302
D7B,0.875,3.0,0.0,0.006025593531288168,27,302
D7B,0.875,3.0,1.0,0.011231379114457894,27,302
D7B,0.875,3.0,2.0,0.014035710580717831,27,302
D7B,0.875,3.0,5.0,0.013493459687110408,27,302
D7B,0.87,3.0,0.0,0.006025593531288168,27,302
D7B,0.87,3.0,1.0,0.011231379114457894,27,302
D7B,0.87,3.0,2.0,0.014035710580717831,27,302
D7B,0.87,3.0,5.0,0.013493459687110408,27,302
D7B,0.865,3.0,0.0,0.006025593531288168,27,302
D7B,0.865,3.0,1.0,0.011231379114457894,27,302
D7B,0.865,3.0,2.0,0.014035710580717831,27,302
D7B,0.865,3.0,5.0,0.013493459687110408,27,302
D7B,0.86,3.0,0.0,0.006025593531288168,27,302
D7B,0.86,3.0,1.0,0.011231379114457894,27,302
D7B,0.86,3.0,2.0,0.014035710580717831,27,302
D7B,0.86,3.0,5.0,0.013493459687110408,27,302
D7B,0.855,3.0,0.0,0.006025593531288168,27,302
D7B,0.855,3.0,1.0,0.011231379114457894,27,302
D7B,0.855,3.0,2.0,0.014035710580717831,27,302
D7B,0.855,3.0,5.0,0.013493459687110408,27,302
D7B,0.85,4.0,0.0,0.029577698974757587,27,279
D7B,0.85,4.0,1.0,0.03315779799978805,27,279
D7B,0.85,4.0,2.0,0.034200299041387175,27,279
D7B,0.85,4.0,5.0,0.031189739721122198,27,279
D7B,0.845,4.0,0.0,0.029577698974757587,27,279
D7B,0.845,4.0,1.0,0.03315779799978805,27,279
D7B,0.845,4.0,2.0,0.034200299041387175,27,279
D7B,0.845,4.0,5.0,0.031189739721122198,27,279
D7B,0.84,4.0,0.0,0.029577698974757587,27,279
D7B,0.84,4.0,1.0,0.03315779799978805,27,279
D7B,0.84,4.0,2.0,0.034200299041387175,27,279
D7B,0.84,4.0,5.0,0.031189739721122198,27,279
D7B,0.835,4.0,0.0,0.029577698974757587,27,279
D7B,0.835,4.0,1.0,0.03315779799978805,27,279
D7B,0.835,4.0,2.0,0.034200299041387175,27,279
D7B,0.835,4.0,5.0,0.031189739721122198,27,279
D7B,0.83,4.260000000000019,0.0,0.05410081679683693,27,270
D7B,0.83,4.260000000000019,1.0,0.05493925727305041,27,270
D7B,0.83,4.260000000000019,2.0,0.053654540723991756,27,270
D7B,0.83,4.260000000000019,5.0,0.04789842728332135,27,270
D7B,0.825,5.0,0.0,0.05410081679683693,27,270
D7B,0.825,5.0,1.0,0.05493925727305041,27,270
D7B,0.825,5.0,2.0,0.053654540723991756,27,270
D7B,0.825,5.0,5.0,0.04789842728332135,27,270
D7B,0.8200000000000001,5.0,0.0,0.05410081679683693,27,270
D7B,0.8200000000000001,5.0,1.0,0.05493925727305041,27,270
D7B,0.8200000000000001,5.0,2.0,0.053654540723991756,27,270
D7B,0.8200000000000001,5.0,5.0,0.04789842728332135,27,270
D7B,0.815,5.0,0.0,0.05410081679683693,27,270
D7B,0.815,5.0,1.0,0.05493925727305041,27,270
D7B,0.815,5.0,2.0,0.053654540723991756,27,270
D7B,0.815,5.0,5.0,0.04789842728332135,27,270
D7B,0.81,5.0,0.0,0.05410081679683693,27,270
D7B,0.81,5.0,1.0,0.05493925727305041,27,270
D7B,0.81,5.0,2.0,0.053654540723991756,27,270
D7B,0.81,5.0,5.0,0.04789842728332135,27,270
D7B,0.8049999999999999,5.0,0.0,0.05410081679683693,27,270
D7B,0.8049999999999999,5.0,1.0,0.05493925727305041,27,270
D7B,0.8049999999999999,5.0,2.0,0.053654540723991756,27,270
D7B,0.8049999999999999,5.0,5.0,0.04789842728332135,27,270
D7B,0.8,5.0,0.0,0.05410081679683693,27,270
D7B,0.8,5.0,1.0,0.05493925727305041,27,270
D7B,0.8,5.0,2.0,0.053654540723991756,27,270
D7B,0.8,5.0,5.0,0.04789842728332135,27,270
D7B,0.7949999999999999,5.0,0.0,0.05410081679683693,27,270
D7B,0.7949999999999999,5.0,1.0,0.05493925727305041,27,270
D7B,0.7949999999999999,5.0,2.0,0.053654540723991756,27,270
D7B,0.7949999999999999,5.0,5.0,0.04789842728332135,27,270
D7B,0.79,5.379999999999981,0.0,0.07371827910878039,27,256
